r,Rd_r,Td_r
0.00250 ,6.17E+01,5.83E-01
0.00750 ,2.04E+01,5.46E-01
0.01250 ,1.20E+01,5.53E-01
0.01750 ,8.59E+00,5.74E-01
0.02250 ,6.73E+00,5.49E-01
0.02750 ,5.64E+00,5.69E-01
0.03250 ,4.67E+00,5.87E-01
0.03750 ,4.15E+00,5.53E-01
0.04250 ,3.65E+00,5.55E-01
0.04750 ,3.35E+00,5.45E-01
0.05250 ,2.96E+00,5.04E-01
0.05750 ,2.76E+00,5.05E-01
0.06250 ,2.57E+00,5.10E-01
0.06750 ,2.33E+00,4.80E-01
0.07250 ,2.13E+00,4.82E-01
0.07750 ,1.99E+00,4.74E-01
0.08250 ,1.86E+00,4.62E-01
0.08750 ,1.71E+00,4.46E-01
0.09250 ,1.58E+00,4.30E-01
0.09750 ,1.52E+00,4.21E-01
0.10250 ,1.40E+00,4.17E-01
0.10750 ,1.32E+00,4.04E-01
0.11250 ,1.20E+00,3.91E-01
0.11750 ,1.14E+00,3.92E-01
0.12250 ,1.07E+00,3.73E-01
0.12750 ,9.78E-01,3.62E-01
0.13250 ,9.51E-01,3.43E-01
0.13750 ,8.63E-01,3.48E-01
0.14250 ,8.16E-01,3.24E-01
0.14750 ,7.73E-01,3.09E-01
0.15250 ,7.18E-01,3.09E-01
0.15750 ,6.91E-01,2.87E-01
0.16250 ,6.33E-01,2.91E-01
0.16750 ,5.98E-01,2.74E-01
0.17250 ,5.59E-01,2.67E-01
0.17750 ,5.31E-01,2.56E-01
0.18250 ,4.89E-01,2.43E-01
0.18750 ,4.69E-01,2.34E-01
0.19250 ,4.40E-01,2.32E-01
0.19750 ,4.13E-01,2.26E-01
0.20250 ,3.94E-01,2.14E-01
0.20750 ,3.65E-01,2.03E-01
0.21250 ,3.37E-01,1.95E-01
0.21750 ,3.25E-01,1.82E-01
0.22250 ,3.06E-01,1.79E-01
0.22750 ,2.89E-01,1.71E-01
0.23250 ,2.73E-01,1.61E-01
0.23750 ,2.61E-01,1.59E-01
0.24250 ,2.39E-01,1.55E-01
0.24750 ,2.28E-01,1.43E-01
0.25250 ,2.24E-01,1.33E-01
0.25750 ,2.03E-01,1.34E-01
0.26250 ,1.94E-01,1.30E-01
0.26750 ,1.85E-01,1.21E-01
0.27250 ,1.76E-01,1.14E-01
0.27750 ,1.62E-01,1.08E-01
0.28250 ,1.56E-01,1.10E-01
0.28750 ,1.49E-01,1.01E-01
0.29250 ,1.41E-01,9.50E-02
0.29750 ,1.31E-01,9.16E-02
0.30250 ,1.26E-01,8.83E-02
0.30750 ,1.22E-01,8.44E-02
0.31250 ,1.11E-01,8.11E-02
0.31750 ,1.05E-01,8.04E-02
0.32250 ,1.01E-01,7.51E-02
0.32750 ,9.71E-02,7.12E-02
0.33250 ,9.47E-02,6.77E-02
0.33750 ,8.66E-02,6.42E-02
0.34250 ,8.25E-02,6.19E-02
0.34750 ,7.85E-02,5.97E-02
0.35250 ,7.25E-02,5.72E-02
0.35750 ,7.13E-02,5.42E-02
0.36250 ,6.70E-02,5.10E-02
0.36750 ,6.40E-02,4.99E-02
0.37250 ,6.20E-02,4.98E-02
0.37750 ,5.74E-02,4.71E-02
0.38250 ,5.64E-02,4.36E-02
0.38750 ,5.30E-02,4.17E-02
0.39250 ,4.81E-02,4.04E-02
0.39750 ,4.68E-02,3.85E-02
0.40250 ,4.56E-02,3.89E-02
0.40750 ,4.29E-02,3.64E-02
0.41250 ,4.13E-02,3.31E-02
0.41750 ,4.03E-02,3.35E-02
0.42250 ,3.77E-02,3.17E-02
0.42750 ,3.42E-02,3.12E-02
0.43250 ,3.41E-02,2.95E-02
0.43750 ,3.14E-02,2.82E-02
0.44250 ,3.03E-02,2.75E-02
0.44750 ,2.81E-02,2.54E-02
0.45250 ,2.79E-02,2.54E-02
0.45750 ,2.70E-02,2.41E-02
0.46250 ,2.57E-02,2.32E-02
0.46750 ,2.38E-02,2.26E-02
0.47250 ,2.30E-02,2.11E-02
0.47750 ,2.28E-02,2.10E-02
0.48250 ,2.20E-02,1.90E-02
0.48750 ,1.99E-02,1.86E-02
0.49250 ,1.96E-02,1.85E-02
0.49750 ,1.93E-02,1.69E-02
