alpha,Rd_a,Td_a
0.026179167,1.94E-02,7.38E-01
0.0785375,1.97E-02,6.98E-01
0.130895833,1.97E-02,6.08E-01
0.183254167,2.06E-02,5.11E-01
0.2356125,1.97E-02,4.32E-01
0.287970833,1.96E-02,3.56E-01
0.340329167,2.09E-02,3.00E-01
0.3926875,2.01E-02,2.50E-01
0.445045833,2.00E-02,2.11E-01
0.497404167,2.00E-02,1.79E-01
0.5497625,2.09E-02,1.54E-01
0.602120833,2.05E-02,1.34E-01
0.654479167,2.07E-02,1.17E-01
0.7068375,2.12E-02,1.02E-01
0.759195833,2.11E-02,8.98E-02
0.811554167,2.12E-02,7.80E-02
0.8639125,2.04E-02,6.97E-02
0.916270833,2.09E-02,6.13E-02
0.968629167,2.01E-02,5.40E-02
1.0209875,1.92E-02,4.70E-02
1.073345833,1.88E-02,4.18E-02
1.125704167,1.74E-02,3.53E-02
1.1780625,1.64E-02,3.02E-02
1.230420833,1.44E-02,2.47E-02
1.282779167,1.25E-02,2.00E-02
1.3351375,1.02E-02,1.52E-02
1.387495833,8.22E-03,1.10E-02
1.439854167,5.53E-03,7.41E-03
1.4922125,3.11E-03,3.87E-03
1.544570833,9.36E-04,1.15E-03
